,Ravi::empathy,Ravi::trust,Ravi::skepticism,Ravi::resolve,Ravi::need,Ravi::memory,Ravi::nuance,Ravi::authority,Nima::empathy,Nima::trust,Nima::skepticism,Nima::resolve,Nima::need,Nima::memory,Nima::nuance,Nima::authority,Mariel::empathy,Mariel::trust,Mariel::skepticism,Mariel::resolve,Mariel::need,Mariel::memory,Mariel::nuance,Mariel::authority,Tovren::empathy,Tovren::trust,Tovren::skepticism,Tovren::resolve,Tovren::need,Tovren::memory,Tovren::nuance,Tovren::authority,Dalen::empathy,Dalen::trust,Dalen::skepticism,Dalen::resolve,Dalen::need,Dalen::memory,Dalen::nuance,Dalen::authority,Archivist Malrik::empathy,Archivist Malrik::trust,Archivist Malrik::skepticism,Archivist Malrik::resolve,Archivist Malrik::need,Archivist Malrik::memory,Archivist Malrik::nuance,Archivist Malrik::authority,High Seer Elenya::empathy,High Seer Elenya::trust,High Seer Elenya::skepticism,High Seer Elenya::resolve,High Seer Elenya::need,High Seer Elenya::memory,High Seer Elenya::nuance,High Seer Elenya::authority,Coren the Mediator::empathy,Coren the Mediator::trust,Coren the Mediator::skepticism,Coren the Mediator::resolve,Coren the Mediator::need,Coren the Mediator::memory,Coren the Mediator::nuance,Coren the Mediator::authority
0,0.8999999999999999,0.83,0.15000000000000002,0.39999999999999997,0.7,0.6,0.4,0.5,0.8,0.5500000000000002,0.5499999999999999,0.39999999999999997,0.7,0.7,0.8,0.4,0.9,0.9,0.1,0.39999999999999997,0.6000000000000001,0.8,0.7,0.5,0.5,0.4,0.7,0.49999999999999994,0.4,0.6,0.3,0.6,0.6000000000000001,0.5,0.4,0.6000000000000001,0.5,0.5,0.2,0.7,0.5,0.4,0.6,0.49999999999999994,0.5,0.9,0.6,0.7,0.9,0.7500000000000001,0.2500000000000001,0.3,0.6000000000000001,0.7,0.8,0.6,0.8500000000000001,0.75,0.2,0.39999999999999997,0.6000000000000001,0.6,0.8,0.6
1,0.9,0.8500000000000001,0.15000000000000002,0.19999999999999996,0.8999999999999999,0.6,0.4,0.5,0.9,0.8000000000000003,0.2999999999999999,0.19999999999999996,0.8999999999999999,0.7,0.8,0.4,0.9,0.9,0.1,0.19999999999999996,0.8,0.8,0.7,0.5,0.7,0.4,0.7,0.29999999999999993,0.6000000000000001,0.6,0.3,0.6,0.8,0.5,0.4,0.4000000000000001,0.7,0.5,0.2,0.7,0.7,0.5,0.5,0.29999999999999993,0.7,0.9,0.6,0.7,0.9,0.7000000000000002,0.30000000000000016,0.1,0.8,0.7,0.8,0.6,0.9,0.75,0.2,0.19999999999999996,0.8,0.6,0.8,0.6
2,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.8999999999999999,0.4,0.7,0.1,0.8,0.6,0.3,0.6,0.9,0.5,0.4,0.20000000000000007,0.8999999999999999,0.5,0.2,0.7,0.8999999999999999,0.6,0.4,0.1,0.8999999999999999,0.9,0.6,0.7,0.9,0.6500000000000002,0.3500000000000002,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
3,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.7,0.30000000000000004,0.1,0.9,0.9,0.6,0.7,0.9,0.6000000000000003,0.40000000000000024,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
4,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.7999999999999999,0.20000000000000004,0.1,0.9,0.9,0.6,0.7,0.9,0.5500000000000004,0.4500000000000003,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.8999999999999999,0.10000000000000003,0.1,0.9,0.9,0.6,0.7,0.9,0.5000000000000004,0.5000000000000002,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
6,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.9,0.1,0.1,0.9,0.9,0.6,0.7,0.9,0.4500000000000004,0.5500000000000002,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
7,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.9,0.1,0.1,0.9,0.9,0.6,0.7,0.9,0.40000000000000036,0.6000000000000001,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
8,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.9,0.1,0.1,0.9,0.9,0.6,0.7,0.9,0.3500000000000003,0.65,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
9,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.6,0.4,0.5,0.9,0.8500000000000001,0.15000000000000002,0.1,0.9,0.7,0.8,0.4,0.9,0.9,0.1,0.1,0.9,0.8,0.7,0.5,0.9,0.4,0.7,0.1,0.9,0.6,0.3,0.6,0.9,0.5,0.4,0.1,0.9,0.5,0.2,0.7,0.9,0.9,0.1,0.1,0.9,0.9,0.6,0.7,0.9,0.3000000000000003,0.7,0.1,0.9,0.7,0.8,0.6,0.9,0.75,0.2,0.1,0.9,0.6,0.8,0.6
