,Ravi::empathy,Ravi::trust,Ravi::skepticism,Ravi::resolve,Ravi::need,Ravi::memory,Ravi::nuance,Ravi::authority,Nima::empathy,Nima::trust,Nima::skepticism,Nima::resolve,Nima::need,Nima::memory,Nima::nuance,Nima::authority,Mariel::empathy,Mariel::trust,Mariel::skepticism,Mariel::resolve,Mariel::need,Mariel::memory,Mariel::nuance,Mariel::authority,Tovren::empathy,Tovren::trust,Tovren::skepticism,Tovren::resolve,Tovren::need,Tovren::memory,Tovren::nuance,Tovren::authority,Dalen::empathy,Dalen::trust,Dalen::skepticism,Dalen::resolve,Dalen::need,Dalen::memory,Dalen::nuance,Dalen::authority,Archivist Malrik::empathy,Archivist Malrik::trust,Archivist Malrik::skepticism,Archivist Malrik::resolve,Archivist Malrik::need,Archivist Malrik::memory,Archivist Malrik::nuance,Archivist Malrik::authority,High Seer Elenya::empathy,High Seer Elenya::trust,High Seer Elenya::skepticism,High Seer Elenya::resolve,High Seer Elenya::need,High Seer Elenya::memory,High Seer Elenya::nuance,High Seer Elenya::authority,Coren the Mediator::empathy,Coren the Mediator::trust,Coren the Mediator::skepticism,Coren the Mediator::resolve,Coren the Mediator::need,Coren the Mediator::memory,Coren the Mediator::nuance,Coren the Mediator::authority
0,0.8999999999999999,0.83969,0.16031000000000004,0.39999999999999997,0.7,0.6,0.4,0.5,0.8,0.6172899999999999,0.48271000000000014,0.39999999999999997,0.7,0.7,0.8,0.4,0.9,0.9,0.1,0.39999999999999997,0.6000000000000001,0.8,0.7,0.5,0.5,0.3748,0.7252,0.49999999999999994,0.4,0.6,0.3,0.6,0.6000000000000001,0.5,0.4,0.6000000000000001,0.5,0.5,0.2,0.7,0.5,0.42518,0.57482,0.49999999999999994,0.5,0.9,0.6,0.7,0.9,0.7468000000000001,0.25320000000000004,0.3,0.6000000000000001,0.7,0.8,0.6,0.8500000000000001,0.75,0.2,0.39999999999999997,0.6000000000000001,0.6,0.8,0.6
1,0.8999999999999999,0.8731247399500001,0.12687526005,0.5,0.7,0.6,0.4,0.5,0.8,0.8731247399500001,0.12687526005,0.5,0.7,0.7,0.8,0.4,0.9,0.9,0.1,0.5,0.6000000000000001,0.8,0.7,0.5,0.5,0.5252021189999999,0.574797881,0.6,0.4,0.6,0.3,0.6,0.6000000000000001,0.6,0.30000000000000004,0.7000000000000001,0.5,0.5,0.2,0.7,0.5,0.6806729119,0.3193270881,0.6,0.5,0.9,0.6,0.7,0.9,0.8489362190000002,0.15106378099999995,0.4,0.6000000000000001,0.7,0.8,0.6,0.8500000000000001,0.85,0.1,0.5,0.6000000000000001,0.6,0.8,0.6
2,0.8999999999999999,0.8907319887753475,0.10926801122465252,0.5,0.7,0.75,0.55,0.35,0.8,0.8907319887753475,0.10926801122465252,0.5,0.7,0.85,0.9,0.25,0.9,0.9,0.1,0.5,0.6000000000000001,0.9,0.85,0.35,0.5,0.6009236160799999,0.49907638392,0.6,0.4,0.75,0.44999999999999996,0.44999999999999996,0.6000000000000001,0.6,0.30000000000000004,0.7000000000000001,0.5,0.65,0.35,0.5499999999999999,0.5,0.845206291978295,0.154793708021705,0.6,0.5,0.9,0.75,0.5499999999999999,0.9,0.8777839894379501,0.12221601056205,0.4,0.6000000000000001,0.85,0.9,0.44999999999999996,0.8500000000000001,0.85,0.1,0.5,0.6000000000000001,0.75,0.9,0.44999999999999996
3,0.9,0.9,0.1,0.3,0.8999999999999999,0.75,0.55,0.35,0.9,0.9,0.1,0.3,0.8999999999999999,0.85,0.9,0.25,0.9,0.9,0.1,0.3,0.8,0.9,0.85,0.35,0.7,0.7110225215038989,0.388977478496101,0.39999999999999997,0.6000000000000001,0.75,0.44999999999999996,0.44999999999999996,0.8,0.6,0.30000000000000004,0.5,0.7,0.65,0.35,0.5499999999999999,0.7,0.9,0.1,0.39999999999999997,0.7,0.9,0.75,0.5499999999999999,0.9,0.9,0.1,0.2,0.8,0.85,0.9,0.44999999999999996,0.9,0.85,0.1,0.3,0.8,0.75,0.9,0.44999999999999996
4,0.9,0.9,0.1,0.4,0.8999999999999999,0.75,0.55,0.35,0.9,0.9,0.1,0.4,0.8999999999999999,0.85,0.9,0.25,0.9,0.9,0.1,0.4,0.8,0.9,0.85,0.35,0.7,0.9,0.134977478496101,0.5,0.6000000000000001,0.75,0.44999999999999996,0.44999999999999996,0.8,0.7,0.20000000000000004,0.6,0.7,0.65,0.35,0.5499999999999999,0.7,0.9,0.1,0.5,0.7,0.9,0.75,0.5499999999999999,0.9,0.9,0.1,0.30000000000000004,0.8,0.85,0.9,0.44999999999999996,0.9,0.9,0.1,0.4,0.8,0.75,0.9,0.44999999999999996
5,0.9,0.9,0.1,0.4,0.8999999999999999,0.9,0.7000000000000001,0.19999999999999998,0.9,0.9,0.1,0.4,0.8999999999999999,0.9,0.9,0.1,0.9,0.9,0.1,0.4,0.8,0.9,0.9,0.19999999999999998,0.7,0.9,0.1,0.5,0.6000000000000001,0.9,0.6,0.29999999999999993,0.8,0.7,0.20000000000000004,0.6,0.7,0.8,0.5,0.3999999999999999,0.7,0.9,0.1,0.5,0.7,0.9,0.9,0.3999999999999999,0.9,0.9,0.1,0.30000000000000004,0.8,0.9,0.9,0.29999999999999993,0.9,0.9,0.1,0.4,0.8,0.9,0.9,0.29999999999999993
6,0.9,0.9,0.1,0.2,0.9,0.9,0.7000000000000001,0.19999999999999998,0.9,0.9,0.1,0.2,0.9,0.9,0.9,0.1,0.9,0.9,0.1,0.2,0.9,0.9,0.9,0.19999999999999998,0.8999999999999999,0.9,0.1,0.3,0.8,0.9,0.6,0.29999999999999993,0.9,0.7,0.20000000000000004,0.39999999999999997,0.8999999999999999,0.8,0.5,0.3999999999999999,0.8999999999999999,0.9,0.1,0.3,0.8999999999999999,0.9,0.9,0.3999999999999999,0.9,0.9,0.1,0.10000000000000003,0.9,0.9,0.9,0.29999999999999993,0.9,0.9,0.1,0.2,0.9,0.9,0.9,0.29999999999999993
7,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.7000000000000001,0.19999999999999998,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.1,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.19999999999999998,0.8999999999999999,0.9,0.1,0.4,0.8,0.9,0.6,0.29999999999999993,0.9,0.7999999999999999,0.10000000000000003,0.5,0.8999999999999999,0.8,0.5,0.3999999999999999,0.8999999999999999,0.9,0.1,0.4,0.8999999999999999,0.9,0.9,0.3999999999999999,0.9,0.9,0.1,0.20000000000000004,0.9,0.9,0.9,0.29999999999999993,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.29999999999999993
8,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.8500000000000001,0.1,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.1,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.1,0.8999999999999999,0.9,0.1,0.4,0.8,0.9,0.75,0.14999999999999994,0.9,0.7999999999999999,0.10000000000000003,0.5,0.8999999999999999,0.9,0.65,0.24999999999999992,0.8999999999999999,0.9,0.1,0.4,0.8999999999999999,0.9,0.9,0.24999999999999992,0.9,0.9,0.1,0.20000000000000004,0.9,0.9,0.9,0.14999999999999994,0.9,0.9,0.1,0.30000000000000004,0.9,0.9,0.9,0.14999999999999994
9,0.9,0.9,0.1,0.10000000000000003,0.9,0.9,0.8500000000000001,0.1,0.9,0.9,0.1,0.10000000000000003,0.9,0.9,0.9,0.1,0.9,0.9,0.1,0.10000000000000003,0.9,0.9,0.9,0.1,0.9,0.9,0.1,0.2,0.9,0.9,0.75,0.14999999999999994,0.9,0.7999999999999999,0.10000000000000003,0.3,0.9,0.9,0.65,0.24999999999999992,0.9,0.9,0.1,0.2,0.9,0.9,0.9,0.24999999999999992,0.9,0.9,0.1,0.1,0.9,0.9,0.9,0.14999999999999994,0.9,0.9,0.1,0.10000000000000003,0.9,0.9,0.9,0.14999999999999994
