file,chunk_index,keyword,signal,confidence,source
data/openstax/openstax.org_books_psychology-2e_pages_11-1-what-is-personality/openstax.org_books_psychology-2e_pages_11-1-what-is-personality_cleaned.txt,2,transformation,transformation,0.36,
data/openstax/openstax.org_books_psychology-2e_pages_11-1-what-is-personality_cleaned.txt,2,transformation,transformation,0.36,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,1,sensuality,sensuality,0.30000000000000004,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,2,sensuality,sensuality,0.4125,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,4,intimacy,intimacy,0.34,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,1,sensuality,sensuality,0.30000000000000004,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,2,sensuality,sensuality,0.4125,
data/openstax/openstax.org_books_psychology-2e_pages_11-2-freud-and-the-psychodynamic-perspective_cleaned.txt,4,intimacy,intimacy,0.34,
data/openstax/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney_cleaned.txt,2,transformation,transformation,0.32000000000000006,
data/openstax/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney_cleaned.txt,2,vulnerability,vulnerability,0.30000000000000004,
data/openstax/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney_cleaned.txt,2,transformation,transformation,0.32000000000000006,
data/openstax/openstax.org_books_psychology-2e_pages_11-3-neo-freudians-adler-erikson-jung-and-horney_cleaned.txt,2,vulnerability,vulnerability,0.30000000000000004,
data/openstax/openstax.org_books_psychology-2e_pages_11-4-learning-approaches/openstax.org_books_psychology-2e_pages_11-4-learning-approaches_cleaned.txt,1,transformation,transformation,0.36,
data/openstax/openstax.org_books_psychology-2e_pages_11-4-learning-approaches_cleaned.txt,1,transformation,transformation,0.36,
data/openstax/openstax.org_books_psychology-2e_pages_11-6-biological-approaches/openstax.org_books_psychology-2e_pages_11-6-biological-approaches_cleaned.txt,1,transformation,transformation,0.4,
data/openstax/openstax.org_books_psychology-2e_pages_11-6-biological-approaches_cleaned.txt,1,transformation,transformation,0.4,
data/openstax/openstax.org_books_psychology-2e_pages_12-3-attitudes-and-persuasion/openstax.org_books_psychology-2e_pages_12-3-attitudes-and-persuasion_cleaned.txt,2,transformation,transformation,0.32000000000000006,
data/openstax/openstax.org_books_psychology-2e_pages_12-3-attitudes-and-persuasion_cleaned.txt,2,transformation,transformation,0.32000000000000006,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,3,intimacy,intimacy,0.595,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,4,intimacy,intimacy,0.34,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,7,intimacy,intimacy,0.34,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,3,intimacy,intimacy,0.595,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,4,intimacy,intimacy,0.34,
data/openstax/openstax.org_books_psychology-2e_pages_12-4-conformity-compliance-and-obedience_cleaned.txt,7,intimacy,intimacy,0.34,
